price,area_m2,rooms,year_built,floor_num,max_floor,market_type_wtórny,finish_do wykończenia,finish_do zamieszkania,finish_unknown,heating_gazowe,heating_inne,heating_kotłownia,heating_miejskie,heating_piece kaflowe,heating_unknown,ownership_spółdzielcze wł. prawo do lokalu,ownership_udział,ownership_unknown,ownership_użytkowanie wieczyste / dzierżawa,advertiser_type_deweloper,advertiser_type_prywatny,building_type_blok,building_type_dom wolnostojący,building_type_kamienica,building_type_szeregowiec,building_type_unknown,window_type_drewniane,window_type_inne,window_type_plastikowe,window_type_unknown,elevator_tak,district_Brynów-Osiedle Zgrzebnioka,district_Dąb,district_Dąbrówka Mała,district_Giszowiec,district_Inne,district_Janów-Nikiszowiec,district_Kostuchna,district_Koszutka,district_Ligota-Panewniki,district_Osiedle Paderewskiego-Muchowiec,district_Osiedle Tysiąclecia,district_Osiedle Witosa,district_Piotrowice-Ochojec,district_Siemianowice Śląskie,district_Szopienice-Burowiec,district_Wełnowiec-Józefowiec,district_Zawodzie,district_Załęska Hałda-Brynów,district_Załęże,district_Śródmieście,extra_balkon,extra_taras,extra_piwnica,extra_garaż/miejsce_parkingowe,extra_pom._użytkowe,extra_ogródek,extra_oddzielna_kuchnia
547000.0,49.5,3,2023.0,5.0,10.0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
499000.0,36.13,2,2024.0,10.0,26.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
473000.0,48.0,3,1970.0,2.0,4.0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1753312.0,99.62,3,2026.0,4.0,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
938790.0,76.95,4,2026.0,0.0,2.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False
947339.0,75.46,4,2026.0,7.0,11.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
561540.0,53.48,3,2023.0,9.0,9.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
569269.0,41.86,2,2026.0,4.0,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
595000.0,85.0,4,2025.0,0.0,1.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True
385000.0,47.0,2,1963.0,3.0,4.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True
278000.0,26.5,1,2023.0,4.0,4.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
285000.0,38.5,2,2023.0,1.0,4.0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
622205.0,58.15,3,2027.0,0.0,10.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
449000.0,45.0,2,2023.0,3.0,4.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
933197.0,70.43,3,2026.0,6.0,8.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
949999.0,119.0,4,2011.0,7.0,10.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True
539000.0,56.57,4,1981.0,3.0,10.0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
