url,title,price,location,area_m2,rooms,floor,market_type,year_built,finish,heating,rent,ownership,available_from,advertiser_type,extras,price_per_m2,elevator,building_material,window_type,building_type,energy_certificate,security_features
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-balkon-ID4ulD7,4-pokojowe mieszkanie 75m2 + balkon,brak informacji,"ul. Ceglana, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie",75.48,4,2/6,pierwotny,2025,do wykończenia,brak informacji,brak informacji,pełna własność,2025-02-02,deweloper,"balkon, garaż/miejsce parkingowe",brak informacji,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/willa-miejska-4-pok-ogrod-ID4tdbA,"Willa Miejska , 4 pok, ogród",629 993 zł,"Śródmieście, Katowice, śląskie",78.26,4,parter/1,pierwotny,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,biuro nieruchomości,"ogródek, taras, garaż/miejsce parkingowe",8050,nie,brak informacji,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/4-pokoje-przy-muzeum-slaskim-parku-boguckim-m26-ID4wudK,4 pokoje przy Muzeum Ślaskim/ Parku Boguckim_M26,brak informacji,"ul. Kopalniana, Bogucice, Katowice, śląskie",97.53,4,4/8,pierwotny,2027,do wykończenia,brak informacji,brak informacji,pełna własność,brak informacji,deweloper,"balkon, taras, garaż/miejsce parkingowe",brak informacji,tak,brak informacji,brak informacji,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/pakiet-kawalerek-inwestycyjnych-roi-6-85-ID4sjU1,"Pakiet kawalerek inwestycyjnych | ROI 6,85%",550 000 zł,"Załęże, Katowice, śląskie",58.0,2,3/4,pierwotny,2022,do zamieszkania,gazowe,140 zł,pełna własność,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe, piwnica, pom. użytkowe",9483,tak,żelbet,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-33-80-m-katowice-ID4tjQl,"Mieszkanie, 33,80 m², Katowice",500 000 zł,"Brynów-Osiedle Zgrzebnioka, Katowice, śląskie",33.8,2,1,wtórny,2024,brak informacji,brak informacji,350 zł,brak informacji,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",14793,tak,brak informacji,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/wstaw-meble-i-mieszkaj-po-generalnym-remoncie-2-p-ID4wu67,Wstaw Meble I Mieszkaj! Po Generalnym Remoncie 2 P,459 000 zł,"ul. Świdnicka, Ligota-Panewniki, Katowice, śląskie",40.0,2,4/5,wtórny,brak informacji,do zamieszkania,miejskie,550 zł,pełna własność,brak informacji,biuro nieruchomości,"balkon, piwnica",11475,nie,brak informacji,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-centrum-z-panorama-miasta-ID4w8TV,Nowoczesne mieszkanie w centrum z panoramą miasta,590 000 zł,"ul. Opolska, Śródmieście, Katowice, śląskie",55.86,2,6/6,wtórny,brak informacji,do zamieszkania,miejskie,774 zł,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",10562,tak,cegła,plastikowe,brak informacji,W trakcie realizacji / Zwolnione,teren zamknięty
https://www.otodom.pl/pl/oferta/francuska-park-2-pokoje-wykonczone-duzy-balkon-ID4wu0I,"Francuska Park, 2 pokoje, wykończone, duży balkon",499 000 zł,"ul. Szybowcowa, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",40.82,2,1/7,wtórny,2023,do zamieszkania,,750 zł,pełna własność,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe, piwnica",12224,tak,beton,plastikowe,apartamentowiec,brak informacji,teren zamknięty monitoring / ochrona
https://www.otodom.pl/pl/oferta/duze-mieszkanie-nowa-inwestycja-atrakcyjna-cena-ID4wu0n,Duże mieszkanie-Nowa Inwestycja-Atrakcyjna Cena,1 280 321 zł,"Śródmieście, Katowice, śląskie",107.59,5,9/10,pierwotny,2026,do wykończenia,miejskie,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",11900,tak,żelbet,plastikowe,apartamentowiec,W trakcie realizacji / Zwolnione,teren zamknięty monitoring / ochrona
https://www.otodom.pl/pl/oferta/mieszkanie-4-wieze-os-tysiaclecia-z-tarasem-40m-ID4tIO3,Mieszkanie 4 Wieże Os. Tysiąclecia Z Tarasem 40M,610 000 zł,"ul. Chorzowska, Osiedle Tysiąclecia, Katowice, śląskie",41.27,2,2/11,wtórny,2019,do zamieszkania,miejskie,0,pełna własność,2024-12-01,biuro nieruchomości,"ogródek, pom. użytkowe",14781,tak,brak informacji,plastikowe,blok,brak informacji,monitoring / ochrona
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-ogrodkiem-ID4wmcE,Nowoczesny Apartament Z Ogródkiem,499 000 zł,"ul. Chorzowska, Osiedle Tysiąclecia, Katowice, śląskie",44.0,2,2/15,wtórny,brak informacji,do zamieszkania,miejskie,600 zł,pełna własność,2025-02-15,biuro nieruchomości,"taras, garaż/miejsce parkingowe, pom. użytkowe",11341,tak,brak informacji,brak informacji,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/tysiaclecie-dwa-pokoje-z-widokiem-na-park-ID4wmcD,Tysiąclecie - Dwa Pokoje Z Widokiem Na Park,399 000 zł,"ul. Ułańska, Osiedle Tysiąclecia, Katowice, śląskie",51.9,2,8/18,wtórny,brak informacji,do remontu,brak informacji,650 zł,spółdzielcze wł. prawo do lokalu,2025-01-13,biuro nieruchomości,"balkon, oddzielna kuchnia, pom. użytkowe",7688,nie,brak informacji,plastikowe,brak informacji,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/okazja-katowice-47m2-ID4wtXj,Okazja - Katowice 47m2 !,329 000 zł,"ul. Oswobodzenia, Janów-Nikiszowiec, Katowice, śląskie",47.2,2,,wtórny,brak informacji,do zamieszkania,miejskie,brak informacji,pełna własność,brak informacji,prywatny,"balkon, garaż/miejsce parkingowe",6970,nie,brak informacji,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/3-pokoje-balkon-81-m2-c-o-gaz-kominek-ID4wtTd,3 pokoje / balkon / 81 m2 / C.O gaz + kominek,515 000 zł,"ul. Tokarska, Załęże, Katowice, śląskie",81.06,3,1/3,wtórny,1910,do zamieszkania,gazowe,"ul. Gliwicka, Załęże, Katowice, śląskie",pełna własność,brak informacji,biuro nieruchomości,"balkon, piwnica, oddzielna kuchnia",6353,nie,cegła,plastikowe,kamienica,W trakcie realizacji / Zwolnione,brak informacji
https://www.otodom.pl/pl/oferta/3-pokoje-na-dolnym-tysiacleciu-balkon-ID4wtOo,3 Pokoje Na Dolnym Tysiącleciu! Balkon,349 000 zł,"ul. Tysiąclecia, Osiedle Tysiąclecia, Katowice, śląskie",47.0,3,2/13,wtórny,brak informacji,do remontu,miejskie,425 zł,brak informacji,2025-04-01,biuro nieruchomości,"balkon, oddzielna kuchnia",7426,tak,brak informacji,brak informacji,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/katowice-ul-jozefowska-ID4wtDX,Katowice ul. Józefowska,330 000 zł,"Wełnowiec-Józefowiec, Katowice, śląskie",32.77,1,1/4,wtórny,brak informacji,do zamieszkania,miejskie,500 zł,pełna własność,brak informacji,biuro nieruchomości,"piwnica, oddzielna kuchnia",10070,nie,cegła,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/2-pokoje-osobna-kuchnia-z-oknem-i-balkon-ID4uGa7,"2 pokoje, osobna kuchnia z oknem i balkon",275 000 zł,"Piotrowice-Ochojec, Katowice, śląskie",41.53,2,4/4,wtórny,brak informacji,do remontu,miejskie,350 zł,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",6622,nie,brak informacji,brak informacji,blok,W trakcie realizacji / Zwolnione,brak informacji
https://www.otodom.pl/pl/oferta/okazja-ostatnie-mieszkania-3-pokojowe-koszutka-ID4wtzb,Okazja ostatnie mieszkania 3 pokojowe Koszutka,729 300 zł,"Koszutka, Katowice, śląskie",75.0,3,2/4,pierwotny,2024,do wykończenia,miejskie,300 zł,brak informacji,brak informacji,biuro nieruchomości,balkon,9724,tak,beton,brak informacji,blok,brak informacji,monitoring / ochrona
https://www.otodom.pl/hpr/pl/oferta/nowe-wyposazone-2-pokoje-scisle-centrum-parking-ID4wuto,Nowe Wyposażone 2 Pokoje Ścisłe Centrum + Parking!,374 900 zł,"ul. Strzelecka, Śródmieście, Katowice, śląskie",35.0,2,1,wtórny,brak informacji,brak informacji,miejskie,brak informacji,pełna własność,brak informacji,biuro nieruchomości,piwnica,10711,nie,brak informacji,plastikowe,kamienica,brak informacji,brak informacji
